"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"210";"Use neem oil or mustard oil over body .";"शरीर पर नीम का तेल या सरसों के तेल का उपयोग करें ।";"शरीर पर नीम के तेल या सरसों के तेल का प्रयोग करें।";"48.861032"
"211";"Use full sleeve shirts and socks .";"पूरी आस्तीन की कमीज तथा मोजे आदि का प्रयोग करें ।";"पूरी बाजू की शर्ट और मोजे आदि पहनें।";"9.027235"
"212";"You must get boys wear full sleeve clothes and socks when they are going to school .";"बालक बालिकाओं को स्कूल जाते समय पूरी आस्तीन का कपड़ा , मोजे अवश्य पहनायें ।";"लड़के और लड़कियों को स्कूल जाते समय पूरी बाजू के कपड़े , मोज़े पहनने चाहिए।";"25.748661"
"213";"Get insecticides sprayed at home .";"घर में कीटनाशक दवाओं का छिड़काव करवायें ।";"घर में कीटनाशकों का छिड़काव करें।";"16.449759"
"214";"Keep the environment clean at home and nearby .";"घर तथा आस - पास वातावरण को स्वच्छ रखें ।";"घर और आसपास के वातावरण को स्वच्छ रखें।";"17.203391"
"215";"Get treatment during the disease outburst , on coming of fever at the government hospital health center .";"रोग प्रकोप के समय , ज्वर होने पर नजदीक के सरकारी अस्पताल प्रा०स्वा०केन्द्र में उपचार लें ।";"बीमारी के प्रकोप के समय बुखार होने पर नजदीकी सरकारी अस्पताल में इलाज कराएं।";"13.353456"
"216";"You must use mosquito nets or anti-mosquito incense sticks while sleeping .";"सोते समय मच्छरदानी अथवा मच्छररोधी अगरबत्ती का प्रयोग अवश्य करें ।";"सोते समय मच्छरदानी या मच्छर रोधी अगरबत्ती का प्रयोग अवश्य करें।";"33.932513"
"217";"You must install nets on windows , doors and clerestorys .";"घरों की खिड़कियों दरवाजों एवं रोशन दानों पर जाली अवश्य लगायें ।";"घरों की खिड़कियों , दरवाजों और बत्तियों पर जाली अवश्य लगाएं।";"22.265215"
"218";"Non-steroidal drugs should not be taken in dengue fever .";"डेंगू बुखार में कास्टायड दवाइयाँ न ली जायें ।";"डेंगू बुखार में कैस्टॉयड दवाएं नहीं लेनी चाहिए।";"18.141207"
"219";"Diabetes is such a kind of disease as a result of which sugar becomes very high in blood .";"डायबिटीज एक ऐसी बीमारी है जिसके परिणामस्वरूप रक्त में बहुत अधिक शर्करा ग्लूकोज हो जाती है ।";"मधुमेह एक ऐसी बीमारी है जिसके परिणामस्वरूप रक्त में बहुत अधिक ग्लूकोज होता है।";"55.941148"
"220";"Diabetes is a serious disease which , if not controlled , can be killing .";"डायबिटीज एक गंभीर बीमारी है , जिसे यदि नियंत्रित न किया गया तो जानलेवा हो सकती है ।";"मधुमेह एक गंभीर बीमारी है जिसे नियंत्रित नहीं किया गया तो यह घातक हो सकती है।";"22.898595"
"221";"On being under attack of diabetes our body forms insulin which helps in lessening sugar .";"डायबिटीज रोग से ग्रसित होने पर हमारा शरीर इन्सुलिन बनाता है , जिससे शर्करा कम करने में मदद मिलती है ।";"मधुमेह से पीड़ित होने पर हमारा शरीर इंसुलिन बनाता है , जो शुगर को कम करने में मदद करता है।";"28.673244"
"222";"Sugar increases in the blood with lack of insulin .";"इन्सुलिन की कमी से रक्त में शर्करा बढ़ जाती है ।";"इंसुलिन की कमी से खून में शुगर बढ़ जाता है।";"16.058516"
"223";"If you have the following symptoms then you may have diabetes .";"यदि आपमें निम्नलिखित लक्षण मौजूद हैं तो आपको डायबिटीज हो सकती है ।";"यदि आपको निम्न में से कोई भी लक्षण है , तो आपको मधुमेह हो सकता है।";"6.437165"
"224";"Frequent feeling of urination .";"बार - बार पेशाब आना ।";"जल्दी पेशाब आना।";"13.976396"
"225";"Feeling more thirsty and dim vision .";"अधिक प्यास लगना , घुंधला दिखाई देना ।";"अत्यधिक प्यास , बादल दृष्टि।";"6.971729"
"226";"Physical inability in sexual activities .";"सेक्स संबंधी क्रियाओं में शारीरिक असमर्थता ।";"यौन गतिविधियों को करने में शारीरिक अक्षमता।";"13.134549"
"227";"Numbness in feet or paralysing feeling in them .";"पैरों का सुन्न हो जाना या उनमें झुनझनाहट होना ।";"पैरों में सुन्नपन या झुनझुनी।";"4.673290"
"228";"Problems occurring from diabetes .";"डायबिटीज से होने वाली समस्याएँ ।";"मधुमेह के कारण होने वाली समस्याएं।";"16.233396"
"229";"The following problems and complexities can emerge from diabetes .";"डायबिटीज से निम्न समस्याएँ एवं जटिलताएँ उत्पन्न हो सकती हैं ।";"मधुमेह से निम्नलिखित समस्याएं और जटिलताएं उत्पन्न हो सकती हैं।";"15.187207"
"230";"Excess of sugar in blood , long term complexities .";"रक्त में शर्करा की अधिकता , दीर्घकालीन जटिलताएँ ।";"उच्च रक्त शर्करा , दीर्घकालिक जटिलताएं।";"6.479067"
"231";"Damage to tendons or neuropathy .";"स्नायुओं को क्षति या न्यूरोपैथी ।";"तंत्रिका क्षति या न्यूरोपैथी।";"19.376929"
"232";"Damage to kidney or nephropathy .";"गुर्दो को क्षति या नेफरोपैथी ।";"गुर्दे की क्षति या नेफ्रोपैथी।";"17.491651"
"233";"Damage to eyes or retinopathy .";"आँखों को क्षति या रेटिनोपैथी ।";"आंखों की क्षति या रेटिनोपैथी।";"17.491651"
"234";"Disease and contraction of heart and blood vessels .";"ह्दय और रक्त वाहिनी की बीमारी एवं संक्रमण ।";"हृदय और रक्त वाहिका रोग और संक्रमण।";"9.870316"
"235";"Long term complexities of diabetes .";"डायबिटीज की दीर्घ कालिक जटिलताएँ ।";"मधुमेह की दीर्घकालिक जटिलताओं।";"9.688465"
"236";"damage to tendons : diabetes damages the tendons of feet and hands .";"स्नायुओं को क्षति डायबिटीज पैरों और हाथों की स्नायुओं को क्षति पहुँचाती है ।";"तंत्रिका क्षति मधुमेह पैरों और हाथों में नसों को नुकसान पहुंचाता है।";"12.124281"
"237";"Shivering , numbness , inflammation or pain may occur due to damage to the tendons which often starts from the tip of the fingers of your feet or hands and increases gradually upwards .";"स्नायुओं को क्षति होने से झुनझुनाहट , सुन्न पड़ना , जलन या दर्द हो सकता है , जो अक्सर आप हाथ पैर की अंगुलियों के छोर से शुरू हो कर धीरे - धीरे ऊपर की ओर बढ़ता है ।";"तंत्रिका क्षति के कारण झुनझुनी , सुन्नता , जलन या दर्द हो सकता है , जो अक्सर आपके हाथ - पैर के सिरे से शुरू होता है और धीरे - धीरे ऊपर की ओर बढ़ता है।";"41.263584"
"238";"If treatment is not done then you can lose the power of feeling in the affected organs .";"यदि इलाज न किया गया तो आप प्रभावित अंगों में महसूस करने की शक्ति गवां सकते हैं ।";"यदि अनुपचारित छोड़ दिया जाता है , तो आप प्रभावित अंगों में महसूस करने की क्षमता खो सकते हैं।";"38.761991"
"239";"Damage to kidney : Delicate filtering system present in the kidney may be damaged with diabetes by which kidneys may stop working and dialysis or kidney transplantation may be required .";"गुर्दों को क्षति डायबिटीज से गुर्दों मे मौजूद नाजुक छनन संस्थान को क्षति पहुँच सकती है , जिससे गुर्दे काम करना बन्द कर सकते हैं और डायलासिस या गुर्दा प्रतिरोपण जरूरी हो सकता है ।";"गुर्दे की क्षति मधुमेह गुर्दे में नाजुक फ़िल्टरिंग प्रणाली को नुकसान पहुंचा सकती है , जिससे गुर्दे काम करना बंद कर सकते हैं और डायलिसिस या गुर्दा प्रत्यारोपण आवश्यक हो सकता है।";"27.255896"
"240";"Diabetes may damage the retina of your eyes which may cause blindness .";"डायबिटीज आपकी आँखों की रेटिना को क्षति पहुँचा सकती है , जिससे अंधापन हो सकता है ।";"मधुमेह आपकी आंखों के रेटिना को नुकसान पहुंचा सकता है , जिससे अंधापन हो सकता है।";"34.073472"
"241";"Disease of heart and blood vessels : The main complexity of diabetes is the damage of heart and blood vessels by which heart attack , paralysis and defect in blood circulation may occur .";"हृदय और रक्त वाहिनी की बीमारी डायबिटीज की प्रमुख जटिलता है , हृदय और रक्त वाहिनियों की क्षति , जिससे दिल का दौरा , पक्षाघात और रक्त संचारण में खराबी हो सकती है ।";"हृदय और रक्त वाहिका रोग मधुमेह की एक प्रमुख जटिलता हृदय और रक्त वाहिका क्षति है , जिससे दिल का दौरा , स्ट्रोक और बिगड़ा हुआ रक्त परिसंचरण हो सकता है।";"24.427867"
"242";"Studies have proved that dangers of heart attack and paralysis is more among the people with diabetes than those who do not have diabetes .";"अध्ययनों ने यह प्रमाणित कर दिया है कि दिल का दौरा और पक्षाघात का खतरा डायबिटीज वाले लोगों में , उन लोगों की अपेक्षा अधिक होता है जिन्हें डायबिटीज नहीं है ।";"अध्ययनों ने साबित किया है कि मधुमेह वाले लोगों में दिल का दौरा और स्ट्रोक का खतरा उन लोगों की तुलना में अधिक होता है जिन्हें मधुमेह नहीं है।";"24.827653"
"243";"Excess of sugar in the infected blood decreases your immune strength and the danger of infection increases by this .";"संक्रमण रक्त में शर्करा की अधिकता आपकी रोग प्रतिरोधक शक्ति को कम कर देती है और इससे संक्रमण होने का खतरा बढ़ जाता है ।";"संक्रमण उच्च रक्त शर्करा आपकी प्रतिरक्षा को कम करता है और आपके संक्रमण के जोखिम को बढ़ाता है।";"5.042782"
"244";"Your mouth , gums , lungs , skin , feet , kidney , bladder and the areas of reproductive organs , all of them can be easily affected with contagion .";"आपके मुँह , मसूड़े , फेफड़े , त्वचा , पैर , गुर्दे , मूत्राशय और जननेन्द्रियों के क्षेत्र , सभी के सभी संक्रमण से आसानी से प्रभावित हो सकते हैं ।";"आपके मुंह के क्षेत्र , मसूड़े , फेफड़े , त्वचा , पैर , गुर्दे , मूत्राशय और जननांग सभी आसानी से संक्रमण से प्रभावित हो सकते हैं।";"48.521935"
"245";"Dangers of diabetes related complexities can be decreased to a great extent with the control of sugar in the blood and adopting healthy lifestyle .";"डायबिटीज से सम्बद्ध जटिलताओं का खतरा , रक्त मे शर्करा ( ग्लूकोज ) के सही नियंत्रण से और स्वस्थ्य जीवन शैली अपना कर , काफी कम किया जा सकता है ।";"रक्त शर्करा ( ग्लूकोज ) के उचित नियंत्रण और स्वस्थ जीवन शैली को अपनाकर मधुमेह से जुड़ी जटिलताओं के जोखिम को काफी कम किया जा सकता है।";"26.348971"
"246";"The chances of bringing the situation back to the pre-damage stage or minimizing it increases by finding out the complexities early through regular medical tests .";"नियमित डॉक्टरी जाँच द्वारा जटिलताओं का शीघ्र पता लगा कर नुकसान को पूर्व ठीक स्थिति में लौटाने या कम से कम करने के अवसर बढ़ जाते हैं ।";"नियमित चिकित्सा जांच के माध्यम से जटिलताओं का शीघ्र पता लगाने से आपके लौटने की संभावना बढ़ जाती है या कम से कम क्षति कम हो जाती है।";"18.105049"
"247";"Every disease occurs due to a type of virus .";"हर रोग एक प्रकार के विषाणु ( वायरस ) से होता है ।";"हर बीमारी एक तरह के वायरस से होती है।";"4.571222"
"248";"Virus is so small that they can not be seen through common microscope .";"विषाणु इतने सूक्ष्म होते हैं कि साधारण सूक्ष्मदर्शी ( माइक्रोस्कोप ) से भी नहीं देखे जा सकते हैं ।";"वायरस इतने छोटे होते हैं कि उन्हें साधारण माइक्रोस्कोप से भी नहीं देखा जा सकता है।";"14.421623"
"249";"If polluted mosquito bites a person then the virus enters into the body of that person .";"दूषित मच्छर किसी स्वस्थ व्यक्ति को काटता है तो विषाणु उस व्यक्ति के शरीर में प्रवेश कर जाते हैं ।";"जब एक संक्रमित मच्छर किसी स्वस्थ व्यक्ति को काटता है तो वायरस उस व्यक्ति के शरीर में प्रवेश कर जाता है।";"60.547833"
"250";"After about 4 to 14 days the symptoms of disease start appearing in that person .";"लगभग 4 से 14 दिन के बाद उस स्वस्थ व्यक्ति में बीमारी के लक्षण दिखायी देने लगते हैं ।";"लगभग 4 से 14 दिनों के बाद उस स्वस्थ व्यक्ति में रोग के लक्षण दिखने लगते हैं।";"41.860919"
"251";"Usually the following symptoms are found in the patients of diabetes .";"डायबिटीज रोग से ग्रसित रोगी में प्रायः निम्न लक्षण पाये जाते हैं -";"मधुमेह से पीड़ित रोगी में अक्सर निम्न लक्षण पाए जाते हैं -";"17.625225"
"252";"High fever .";"तेज बुखार ।";"उच्च बुखार।";"30.326533"
"253";"Acute pain .";"भयानक सरदर्द ।";"भयंकर सिरदर्द।";"30.326533"
"254";"Stiffness in neck .";"गर्दन में अकड़न ।";"गर्दन में अकड़न।";"45.782274"
"255";"Stiffness in body .";"शरीर में अकड़न ।";"शरीर में अकड़न।";"45.782274"
"256";"Strokes in body .";"शरीर में झटके लगना ।";"शरीर में कंपन होना।";"24.880469"
"257";"Nausea and vomiting .";"मितली व उल्टी आना ।";"मतली और उल्टी";"19.505632"
"258";"Fainting or total nervousness .";"अर्द्ध अथवा पूर्ण बेहोशी आना ।";"आधा या पूर्ण बेहोशी।";"9.688465"
"259";"As soon as the above mentioned symptoms appear the patient should immediately be admitted for treatment at the nearby primary health center , sub-divisional government hospital or district hospital .";"रोगी में उपर्युक्त लक्षण दिखाई देते ही उसे तुरन्त नजदीक के प्राथमिक स्वास्थ्य केन्द्र , तहसील स्तरीय राजकीय चिकित्सालय अथवा जिला चिकित्सालय में चिकित्सा हेतु भर्ती करवा देना चाहिये ।";"जैसे ही रोगी में उपरोक्त लक्षण दिखाई दें , उसे तुरंत नजदीकी प्राथमिक स्वास्थ्य केंद्र , तहसील स्तर के सरकारी अस्पताल या जिला अस्पताल में इलाज के लिए भर्ती करवाना चाहिए।";"5.517785"
"260";"Malaria spreads through mosquitoes therefore it is necessary that the number of mosquitoes be decreased in community .";"मलेरिया रोग मच्छरों द्वारा फैलता है , इसलिये यह आवश्यक है कि समुदाय में मच्छरों की संख्या को घटाया जाए ।";"मलेरिया रोग मच्छरों से फैलता है , इसलिए समुदाय में मच्छरों की संख्या को कम करना आवश्यक है।";"34.833652"
"261";"Disease carrying mosquitoes mainly reside outside home in paddy fields , ponds and ditches filled with water .";"रोग - वाहक मच्छर मुख्य रूप से घरों से बाहर धान के खेतों , पोखरों एवं पानी से भरे गड्ढों में रहते हैं ।";"रोग फैलाने वाले मच्छर मुख्य रूप से घरों के बाहर धान के खेतों , पोखरों और पानी से भरे गड्ढों में रहते हैं।";"54.417487"
"262";"Pay special attention towards cleanliness at home and outside .";"घर तथा बाहर की स्वच्छता पर विशेष ध्यान रखें ।";"घर और बाहर की साफ - सफाई पर विशेष ध्यान दें।";"18.360281"
"263";"Fill the ditches , cut tall grass and bushes .";"गड्ढों को पाट दें , बड़ी - बड़ी घास व झाड़ियों को काट दें ।";"गड्ढों को भरें , लंबी घास और झाड़ियों को काट लें।";"8.154855"
"264";"Wear pants , pyjama , dhoti , socks , full sleeved kurta or shirt in the evening .";"शाम के समय पैन्ट , पैजामा , धोती , मोजे , पूरी बाँह का कुर्ता या कमीज पहनें ।";"शाम को पैंट , पायजामा , धोती , मोजे , पूरी बाजू का कुर्ता या कमीज पहनें।";"39.840988"
"265";"Use mosquito nets while sleeping wherever possible .";"सोते समय जहाँ तक संभव हो मच्छरदानी का प्रयोग करें ।";"जहां तक हो सके सोते समय मच्छरदानी का प्रयोग करें।";"19.331264"
"266";"Do not let rain water collect near the ditches nearby house .";"जहाँ तक संभव हो बरसाती पानी को घर के आस - पास गड्ढों में इकट्ठा न होने दें ।";"जहां तक संभव हो बारिश के पानी को घर के आसपास के गड्ढों में जमा न होने दें।";"22.402287"
"267";"Cooperate with the health staffs in sprinkling insecticides and fogging .";"कीटनाशक दवाओं के छिड़काव तथा फॉगिंग ( धुआँ छोड़ने ) में स्वास्थ्य कर्मचारियों का सहयोग प्रदान करें ।";"स्वास्थ्य कर्मियों को कीटनाशकों के छिड़काव और फॉगिंग में सहायता प्रदान करें।";"5.406472"
"268";"Use fine nets to stop mosquitoes enter the pigsties .";"सुअर के बाड़ों में मच्छरों को जाने से रोकने के लिये महीन जाली का प्रयोग करें ।";"मच्छरों को सुअर के बाड़ों में प्रवेश करने से रोकने के लिए एक महीन जाली का प्रयोग करें।";"24.202876"
"269";"Get the vaccine of encephalitis administered in time .";"समय से एन्सेफलाइटिस का टीका लगवाएँ ।";"इंसेफेलाइटिस का टीका समय पर लगवाएं।";"15.207218"
"270";"Hepatitis-A is one of the most widespread disease spreading in the whole world .";"हेपेटाइटिस - ए विश् ‍ व भर में फैलने वाली एक सर्वाधिक व्यापक बीमारी है ।";"हेपेटाइटिस ए दुनिया भर में सबसे व्यापक बीमारियों में से एक है।";"6.386992"
"271";"This occurs due to Hepatitis-A virus and it is common at places with bad level of cleanliness .";"यह हेपेटाइटिस - ए वायरस के कारण होती है और साफ सफाई के खराब स्तर वाले स्थानों पर यह आम है ।";"यह हेपेटाइटिस - ए वायरस के कारण होता है और स्वच्छता के खराब स्तर वाले स्थानों में आम है।";"46.127480"
"272";"Virus attacks lever and causes diseases of different intensity to emerge in the patients .";"वायरस यकृत ( लीवर ) पर हमला करता है और मरीजों मे भिन्न तीव्रता की बीमारी उभारता है ।";"वायरस लीवर पर हमला करता है और रोगियों में अलग - अलग तीव्रता के रोग का कारण बनता है।";"21.314569"
"273";"Hepatitis-A viral spreads in the faeces and at first it spreads through the anal passage .";"हेपेटाइटिस - ए वायरल मल मे फैलता है और प्रथमतः गुदा - मुख मार्ग द्वारा प्रसार करता है ।";"हेपेटाइटिस ए वायरल मल के माध्यम से फैलता है और मुख्य रूप से गुदा - मौखिक मार्ग से फैलता है।";"14.400124"
"274";"The virus comparatively takes long time to show symptoms and is contagious .";"वायरस तुलनात्मक रूप से लक्षण प्रकट करने में लंबा समय लेता है और संक्रामक होता है ।";"वायरस के लक्षण प्रकट होने में अपेक्षाकृत अधिक समय लगता है और यह संक्रामक है।";"7.735985"
"275";"Therefore the infected person can spread the disease to other people even before it develops .";"अतः संक्रमित व्यक्ति विकसित होने से पूर्व ही बीमारी अन्य लोगों तक फैला सकता है ।";"इसलिए , संक्रमित व्यक्ति इस बीमारी को विकसित होने से पहले ही दूसरे लोगों में फैला सकता है।";"12.846190"
"276";"Nausea , jaundice , purge , light colored faeces , stomach ache , weakness , tiredness , fever , shivering , not feeling hungry , neck pain etc .";"उबकाई उल्टी , पीलिया ( आँखों , त्वचा व मूत्र का पीलापन ) जुलाब , फीके रंग की शौच , पेट दर्द , कमजोरी , थकान , बुखार , कपकपी , भूख न लगना , गले में दर्द इत्यादि ।";"मतली , उल्टी , पीलिया ( आंखों , त्वचा और मूत्र का पीला होना ) जुलाब , मल का रंग फीका पड़ना , पेट में दर्द , कमजोरी , थकान , बुखार , कंपकंपी , भूख न लगना , गले में खराश आदि।";"41.672234"
"277";"Symptoms are dependent on the frequency of emergence .";"लक्षणों के उभरने की बारंबारता तीव्रता व्यक्ति की आयु पर निर्भर है ।";"लक्षणों की आवृत्ति तीव्रता व्यक्ति की उम्र पर निर्भर करती है।";"15.909385"
"278";"Hepatitis-A and V are two different kinds of viral hepatitis that occur due to different kinds of viruses .";"हेपेटाइटिस - ए और बी दो भिन्न प्रकार के वायरल हेपेटाइटिस हैं जो अलग - अलग वायरसों के कारण होते हैं ।";"हेपेटाइटिस ए और बी दो अलग - अलग प्रकार के वायरल हेपेटाइटिस हैं जो विभिन्न वायरस के कारण होते हैं।";"44.044262"
"279";"Every type of hepatitis is different .";"हर प्रकार का हेपेटाइटिस अलग है ।";"हर प्रकार का हेपेटाइटिस अलग होता है।";"61.478815"
"280";"Hepatitis-A can not be avoided with the vaccination of hepatitis-B .";"हेपेटाइटिस - बी के प्रति टीकाकरण से हेपेटाइटिस - ए से बचाव नहीं होता ।";"हेपेटाइटिस बी के खिलाफ टीकाकरण हेपेटाइटिस ए को नहीं रोकता है।";"7.126814"
"281";"Similarly , hepatitis-B can not be avoided with the vaccination of hepatitis-A .";"इसी तरह हेपेटाइटिस - ए के टीके से हेपेटाइटिस - बी से बचाव नहीं होता ।";"इसी तरह , हेपेटाइटिस ए का टीका हेपेटाइटिस बी से बचाव नहीं करता है।";"20.282885"
"282";"The vaccine is available now and is the most practical solution against hepatitis-A .";"अब टीका उपलब्ध है और हेपेटाइटिस - ए के खिलाफ सुरक्षा का सर्वाधिक व्यवहार्य उपाय है ।";"टीके अब उपलब्ध हैं और हेपेटाइटिस ए से बचाव का सबसे व्यवहार्य साधन हैं।";"6.270145"
"283";"Primary vaccination keeps a person safe for a year and the booster dose administered after six months gives safety for about 20 years .";"प्राथमिक टीकाकरण व्यक्ति को एक वर्ष तक सुरक्षित रखता है और 6 माह बाद दिया जाने वाला बूस्टर डोज अनुमानतः कम से कम 20 वर्ष सुरक्षा देता है ।";"प्राथमिक टीकाकरण एक वर्ष के लिए एक व्यक्ति की रक्षा करता है और 6 महीने के बाद दी जाने वाली बूस्टर खुराक से कम से कम 20 साल की सुरक्षा प्रदान करने का अनुमान है।";"12.787396"
"284";"A combined vaccine is available from Glaxosmithkline which provides safety from , both hepatitis-A and hepatitis-B through a single safety order administered at 0 . . months .";"ग्लेक्सोम्थिक्लाइन द्वारा एक संयुक्त टीका उपलब्ध है जो 0 , 1 , 6 महीनों पर दिए जाने वाले एकल बचाव क्रम द्वारा हेपेटाइटिस - ए और हेपेटाइटिस - बी दोनों से सुरक्षा प्रदान करता है ।";"ग्लैक्सोमेथिकलाइन से एक संयुक्त टीका उपलब्ध है जो 0 , 1 , 6 महीने में दिए गए एकल बचाव आहार द्वारा हेपेटाइटिस ए और हेपेटाइटिस बी दोनों से सुरक्षा प्रदान करता है।";"47.616672"
"285";"The combined vaccine of hepatitis-A and hepatitis-B is available in two forms .";"हेपेटाइटिस - ए और हेपेटाइटिस - बी का संयुक्त टीका दो रूपों मे उपलब्ध है ।";"हेपेटाइटिस ए और हेपेटाइटिस बी का संयुक्त टीका दो रूपों में उपलब्ध है।";"40.438438"
"286";"Paediatric dose : One dose is of 0 . ml for children and adolescents .";"पेडियाट्रिक खुराक : बच्चों और 1 से 15 वर्ष आयु के किशोरों के लिए 0.5 मि . ली . की एक खुराक होती है ।";"बाल चिकित्सा खुराक : 1 से 15 वर्ष की आयु के बच्चों और किशोरों के लिए 0.5 मिली। आपके पास एक ही खुराक है।";"25.246692"
"287";"Adult dose : The dose is of 1 . ml for adults of the age of 16 years and above .";"वयस्क खुराक : 16 वर्ष और अधिक आयु के वयस्कों के लिए 1.0 मि . ली . की खुराक होती है ।";"वयस्क खुराक : 16 वर्ष और उससे अधिक उम्र के वयस्कों के लिए 1.0 मिली। खुराक है।";"38.559621"
"288";"Hepatitis-B is a worldwide disease which occurs due to hepatitis-B virus -LRB- HBV -RRB- .";"हेपेटाइटिस - बी विश् ‍ वव्यापी बीमारी है , जो हेपेटाइटिस - बी वायरस ( एचबीवी ) के कारण होती है ।";"हेपेटाइटिस बी एक विश्वव्यापी बीमारी है जो हेपेटाइटिस बी वायरस ( एचबीवी ) के कारण होती है।";"37.795686"
"289";"HBV affects mainly liver by which an inflammation occurs .";"एचबीपी मुख्यतः यकृत को प्रभावित करते हैं जिससे जलन होती है";"एचबीपी मुख्य रूप से लीवर को प्रभावित करता है जिससे जलन होती है";"23.901089"
"290";"The cells of liver gets destroyed and the function of liver often gets interrupted .";"यकृत की कोशिकाएँ नष्ट होती हैं और यकृत का कार्य अक्सर बाधित हो जाता है ।";"जिगर की कोशिकाएं नष्ट हो जाती हैं और यकृत का कार्य अक्सर बाधित हो जाता है।";"53.933963"
"291";"The results of infection are different and unexpected .";"संक्रमण के परिणाम भिन्न - भिन्न और अनापेक्षित होते हैं ।";"संक्रमण के परिणाम विविध और अप्रत्याशित हैं।";"14.834636"
"292";"The results of infection are dependent on the age of patient and state of the capacity of the immune system .";"संक्रमण के परिणाम मरीज की आयु और प्रतिकारक क्षमता की स्थिति पर आधारित होते हैं ।";"संक्रमण का परिणाम रोगी की उम्र और प्रतिरक्षा स्थिति पर आधारित होता है।";"11.282969"
"293";"Hepatitis-B is extremely contagious and it is thought to be 100 times more contagious than the HIV .";"हेपेटाइटिस - बी अत्यंत संक्रामक है , इसे एड्स पैदा करने वाले एच . आई . वी . की तुलना में 100 गुना ज्यादा संक्रामक माना जाता है ।";"हेपेटाइटिस बी अत्यधिक संक्रामक है , इसे एड्स पैदा करने वाले एचआईवी से भ्रमित किया जा सकता है। से 100 गुना अधिक संक्रामक";"26.816030"
"294";"In comparison with AIDS , Hepatitis-B victimises more people to death in the whole year .";"हैपेटाइटिस - बी पूरे वर्ष भर में प्रतिदिन एड्स की तुलना में ज्यादा लोगों को मौत का शिकार बनाता है ।";"हेपेटाइटिस - बी से साल भर में हर दिन एड्स से ज्यादा लोगों की मौत होती है।";"6.929222"
"295";"Blood is the most important vehicle in the spread of hepatitis-B disease but it can also spread through other body fluids in which sperm , vaginal fluids and saliva are included .";"हैपेटाइटिस - बी रोग के प्रसार में रक्त सर्वाधिक महत्वपूर्ण साधन हैं लेकिन ये अन्य शारीरिक द्रव्यों के माध्यम से भी फैल सकता है जिसमें शामिल हैं वीर्य , योनिमार्ग से स्त्राव और लार ।";"रक्त हेपेटाइटिस बी रोग के संचरण का सबसे महत्वपूर्ण साधन है , लेकिन यह वीर्य , योनि स्राव और लार सहित अन्य शारीरिक तरल पदार्थों के माध्यम से भी फैल सकता है।";"22.641523"
"296";"HBV spreads in three ways , from mother to child , at birth time and from person to person .";"एचबीवी तीन माध्यमों से फैलता है , माँ से बच्चे में , जन्म पर और व्यक्ति से व्यक्ति में ।";"एचबीवी तीन माध्यमों से फैलता है , मां से बच्चे में , जन्म के समय और एक व्यक्ति से दूसरे व्यक्ति में।";"46.836247"
"297";"The most effective and convenient solution for safety from hepatitis-B and its resultant chronic carrier state or liver cancer is vaccination .";"हैपेटाइटिस - बी बीमारी तथा उसके परिणामस्वरूप होने वाले क्रानिक कैरियर स्टेट या लीवर कैंसर से बचाव का सर्वाधिक प्रभावी और सुविधाजनक उपाय है , टीकाकरण ।";"हेपेटाइटिस बी रोग और इसके परिणामस्वरूप होने वाली पुरानी वाहक अवस्था या यकृत कैंसर को रोकने का सबसे प्रभावी और सुविधाजनक तरीका टीकाकरण है।";"7.728420"
"298";"After vaccination people who have developed protective anti-bacterial reactions can get total safety from intense and old contraction along with diseases .";"टीकाकरण के बाद सुरक्षात्मक प्रतिजैविक प्रतिक्रया विकसित कर चुके व्यक्तियों को तीव्र और पुराने संक्रमण तथा साथ ही बीमारियों से संपूर्ण सुरक्षा मिल सकती है ।";"जिन व्यक्तियों ने टीकाकरण के बाद एक सुरक्षात्मक एंटीबायोटिक प्रतिक्रिया विकसित की है , वे तीव्र और पुराने संक्रमणों के साथ - साथ बीमारियों से भी पूर्ण सुरक्षा प्राप्त कर सकते हैं।";"9.655118"
"299";"With extensive use of hepatitis-B vaccination a remarkable decrease has been seen in hepatitis-B infection and the liver cancer arising out of long term hepatitis-B .";"हैपेटाइटिस - बी टीके के व्यापक उपयोग से हैपेटाइटिस - बी संक्रमण और दीर्घकालीन हैपेटाइटिस - बी से उभरे लीवर कैंसर में उल्लेखनीय रूप से कमी दिखी है ।";"हेपेटाइटिस - बी के टीके के व्यापक उपयोग से हेपेटाइटिस - बी संक्रमण और क्रोनिक हेपेटाइटिस - बी से उत्पन्न होने वाले यकृत कैंसर में उल्लेखनीय कमी देखी गई है।";"28.817613"
