"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"Second Machine translated sentence";"First machine translated sentence bleu score";"Second machine translated sentence bleu score"
"669";"Transplantation is a very time sensitive process .";"जहां शरीर का प्रतिरक्षा तंत्र प्रत्यारोपित अंग के विरुद्ध प्रतिक्रिया कर उसे नकार देता है और इसके कारण प्रत्यारोपण विफल हो जाता है और अब इस प्रत्यारोपित अंग को उस शरीर मे में ही कार्यशील बनाए रखना प्रत्यारोपण औषधि के लिए एक बड़ी चुनौती होती है ।";"प्रत्यारोपण एक बहुत ही संवेदनशील प्रक्रिया है।";"प्रत्यारोपण एक बहुत ही समय संवेदनशील प्रक्रिया है।";"0.028509";"0.055491"
"670";"Bones , tendons , cornea , heart valves , veins , arm and skin are included among the tissues that can be transplanted .";"` ` प्रत्यारोपण एक बहुत ही समय संवेदनशील प्रक्रिया है । ` `";"हड्डियों , टेंडन , कॉर्निया , हृदय वाल्व , नसों , बांह और त्वचा को उन ऊतकों में शामिल किया जाता है जिन्हें प्रत्यारोपित किया जा सकता है।";"हड्डियों , tendons , कॉर्निया , हृदय वाल्व , नसों , हाथ और त्वचा को उन ऊतकों में शामिल किया जाता है जिन्हें प्रत्यारोपित किया जा सकता है।";"1.335353";"1.335353"
"671";"There is a lack of suitable organs for transplant in most of the countries .";"ऊतक जो प्रत्यारोपित हो सकते हैं उनमे अस्थियाँ , कंडर ( टेंडन ) , कॉर्निया , हृदय वाल्व नसें बाहु , और त्वचा शामिल हैं ।";"अधिकांश देशों में प्रत्यारोपण के लिए उपयुक्त अंगों का अभाव है।";"अधिकांश देशों में प्रत्यारोपण के लिए उपयुक्त अंगों की कमी है।";"0.479208";"0.479208"
"672";"There is a formal system to alleviate risks of unacceptance and to manage allocation in most of the countries .";"अधिकांश देशों में प्रत्यारोपण के लिए उपयुक्त अंगों की कमी है ।";"अधिकांश देशों में अस्वीकृति के जोखिम को कम करने और आवंटन का प्रबंधन करने के लिए एक औपचारिक प्रणाली है।";"अस्वीकृति के जोखिमों को कम करने और अधिकांश देशों में आवंटन का प्रबंधन करने के लिए एक औपचारिक प्रणाली है।";"8.961672";"8.961672"
"673";"Some countries are attached to international organizations such as Eurotransplant so that the supply of organs can be assured .";"अधिकांश देशों में अस्वीकृति के जोखिम को कम करने और आवंटन का प्रबंधन करने के लिए एक औपचारिक प्रणाली है ।";"कुछ देश यूरोट्रांसप्लांट जैसे अंतरराष्ट्रीय संगठनों से जुड़े हुए हैं ताकि अंगों की आपूर्ति सुनिश्चित की जा सके।";"कुछ देश यूरोट्रांसप्लांट जैसे अंतरराष्ट्रीय संगठनों से जुड़े हुए हैं ताकि अंगों की आपूर्ति का आश्वासन दिया जा सके।";"0.908991";"1.822179"
"674";"Transplantation also brings some life ethical issues to the fore such as definition of death , when and how an agreement is to be given for an organ and payment for the used organ in transplant .";"` ` कुछ देश यूरोट्रांसप्लांट जैसे अंतर्राष्ट्रीय संगठनों से जुड़े हैं ताकि दाता अंगों की आपूर्ति को सुनिश् ‍ चित किया जा सके । ` `";"प्रत्यारोपण कुछ जीवन नैतिक मुद्दों को भी सामने लाता है जैसे मृत्यु की परिभाषा , अंग के लिए कब और कैसे समझौता किया जाना है और प्रत्यारोपण में प्रयुक्त अंग के लिए भुगतान।";"प्रत्यारोपण कुछ जीवन नैतिक मुद्दों को भी सामने लाता है जैसे मृत्यु की परिभाषा , जब और कैसे एक अंग के लिए एक समझौता दिया जाना है और प्रत्यारोपण में प्रयुक्त अंग के लिए भुगतान।";"1.679426";"1.493370"
"675";"Amoeba dysentry disease emerges from a special kind of microbic bacteria called Entamoeba histolytica .";"प्रत्यारोपण कुछ जैव नैतिक मुद्दे भी उठाता है जैसे मृत्यु की परिभाषा , कब और कैसे एक अंग के लिए सहमति दी जानी चाहिए और प्रत्यारोपण मे प्रयुक्त अंग के लिए भुगतान करना आदि ।";"अमीबा पेचिश रोग एंटअमीबा हिस्टोलिटिका नामक एक विशेष प्रकार के सूक्ष्म जीवाणु से निकलता है।";"अमीबा पेचिश रोग एक विशेष प्रकार के माइक्रोबिक बैक्टीरिया से निकलता है जिसे एंटामोइबा हिस्टोलिटिका कहा जाता है।";"0.823791";"1.099221"
"676";"Entamoeba is present in the large intestine of the body in two forms .";"अमीबा पेचिश रोग एक विशेष प्रकार के सूक्ष्म जीवाणु एंटामीबा हिस्टॉलिटिका ( entamoeba histolytica ) नामक उपसर्ग से उत्पन्न होता है ।";"एंटअमीबा शरीर की बड़ी आंत में दो रूपों में मौजूद होता है।";"एंटामोइबा शरीर की बड़ी आंत में दो रूपों में मौजूद है।";"1.471766";"0.689365"
"677";"These forms are called cyst and ova .";"एंटामीबा दो रूपों में शरीर की वृहत् आंत्र में विद्यमान रहता है ।";"इन रूपों को सिस्ट और ओवा कहा जाता है।";"इन रूपों को पुटी और ओवा कहा जाता है।";"3.056960";"3.056960"
"678";"Humans takes it inside the body in the form of cyst through food items and beverages .";"इन रूपों को पुटी ( cyst ) और अंडाणु ( ova ) कहते हैं ।";"मनुष्य इसे खाद्य पदार्थों और पेय पदार्थों के माध्यम से सिस्ट के रूप में शरीर के अंदर ले जाता है।";"मनुष्य इसे खाद्य पदार्थों और पेय पदार्थों के माध्यम से पुटी के रूप में शरीर के अंदर ले जाता है .";"1.914603";"2.159701"
"679";"This cyst sometimes takes the form of eggs on entering the large intestine .";"मनुष्य खाद्य एवं पेय पदार्थो द्वारा इस जीवाणु को पुटी रूप में शरीर के अंदर ग्रहण करता है ।";"यह सिस्ट कभी - कभी बड़ी आंत में प्रवेश करने पर अंडे का रूप ले लेता है।";"यह पुटी कभी - कभी बड़ी आंत में प्रवेश करने पर अंडे का रूप लेती है।";"2.417809";"2.668299"
"680";"Among the main symptoms of dysentery patient has diarrhoea along with an acute form of stomach ache and an acute convulsion occurs near the anus .";"यह पुटी कभी - कभी बृहत् आंत्र में पहुँचकर अडाणु का रूप ग्रहण कर लेती है ।";"पेचिश के मुख्य लक्षणों में दस्त के साथ - साथ पेट में तेज दर्द होता है और गुदा के पास एक तीव्र ऐंठन होती है।";"पेचिश रोगी के मुख्य लक्षणों में दस्त के साथ - साथ पेट में दर्द का एक तीव्र रूप होता है और गुदा के पास एक तीव्र ऐंठन होती है।";"1.982257";"1.924085"
"681";"On diagnosing such patients a tenderness is found in caecum and the left iliac region and some fever also occurs .";"` ` पेचिश के मुख्य लक्षणों में रोगी को तीव्र स्वरूप के उदरशूल के साथ अतिसार होता है तथा गुदा के पास के भाग में तीव्र ऐंठन होती है । ` `";"ऐसे रोगियों का निदान करने पर कोकम और बायें इलियाक क्षेत्र में कोमलता पाई जाती है और कुछ बुखार भी होता है।";"ऐसे रोगियों का निदान करने पर कैक्यूम और बाएं इलियाक क्षेत्र में कोमलता पाई जाती है और कुछ बुखार भी होता है।";"1.442854";"1.442854"
"682";"Flies are extremely helpful in spreading dysentery .";"ऐसे रोगियों की परीक्षा करने पर अंधनाल ( caecum ) तथा वाम श्रोणीय क्षेत्र ( left iliac region ) में छूने से दाब वेदना ( tenderness ) होती है तथा कुछ ज्वरांश भी रहता है ।";"पेचिश फैलाने में मक्खियां बेहद मददगार होती हैं।";"पेचिश के प्रसार में मक्खियां बहुत मददगार होती हैं।";"0.198315";"0.282282"
"683";"Toilet occurs 12 to 24 times or more a day and most of the part of the excreta is mucus and thickened blood .";"मक्खियाँ पेचिश रोग के प्रसार में अत्यधिक सहायक होती हैं ।";"शौचालय दिन में 12 से 24 बार या उससे अधिक बार होता है और मलमूत्र का अधिकांश भाग बलगम और गाढ़ा रक्त होता है।";"शौचालय एक दिन में 12 से 24 बार या उससे अधिक होता है और मलमूत्र का अधिकांश हिस्सा बलगम और गाढ़ा रक्त होता है।";"1.573293";"1.573293"
"684";"Sometimes this amoeba enters the portal vein and creates epatitis and abscess blisters .";"` ` दिन में 12 से लेकर 24 तथा उससे भी अधिक बार टट्टी होती है तथा मल में अधिकांश भाग श् ‍ लेष्मा ( mucus ) तथा गाढ़ा रक्त रहता है । ` `";"कभी - कभी यह अमीबा पोर्टल शिरा में प्रवेश कर जाता है और एपेटाइटिस और फोड़े के फफोले पैदा कर देता है।";"कभी - कभी यह अमीबा पोर्टल की नस में प्रवेश करता है और इपेटिस और फोड़ा फफोले बनाता है।";"1.137568";"1.037151"
"685";"Abscess is a serious type of fatal disease .";"कभी - कभी यह अमीबा जब निर्वाहिका शिरा ( portal ) में पहुँच जाता है तथा यकृतशोय ( epatitis ) तथा यकृत विद्रधि ( abscess ) फोड़ा उत्पन्न करता है ।";"फोड़ा एक गंभीर प्रकार की घातक बीमारी है।";"फोड़ा एक गंभीर प्रकार की जानलेवा बीमारी है।";"0.311552";"0.155776"
"686";"When the abscess blasts then as a result its pus creates several fatal diseases on entering lungs , stomach , large intestine , peritoneum and pericardium .";"यकृत विद्रधि तीव्र स्वरूप का घातक रोग है ।";"जब फोड़ा फट जाता है तो इसके परिणामस्वरूप इसका मवाद फेफड़ों , पेट , बड़ी आंत , पेरिटोनियम और पेरीकार्डियम में प्रवेश करने पर कई घातक रोग पैदा करता है।";"जब फोड़ा फट जाता है तो इसके परिणामस्वरूप इसका मवाद फेफड़ों , पेट , बड़ी आंत , पेरिटोनियम और पेरीकार्डियम में प्रवेश करने पर कई घातक रोग उत्पन्न करता है।";"2.747879";"2.747879"
"687";"Among the main symptoms of abscess there is an acute pain in the liver part of the patient which sometimes spreads to the right shoulder .";"जब यकृत विद्रधि फटती है , तो उपद्रव स्वरूप इसका पूय फुफ्फुस , आमाशय , बृहत् आंत्र , उदर कला ( peritoneum ) तथा हृदयावरण ( pericardium ) में पहुँचकर अनेक घातक विकार उत्पन्न करता है ।";"फोड़े के मुख्य लक्षणों में रोगी के यकृत भाग में तेज दर्द होता है जो कभी - कभी दाहिने कंधे तक फैल जाता है।";"फोड़े के मुख्य लक्षणों में रोगी के जिगर के हिस्से में एक तीव्र दर्द होता है जो कभी - कभी दाहिने कंधे तक फैलता है।";"1.204612";"1.108347"
"688";"Besides this headache , shivering and fever also reach their pinnacle .";"यकृत विद्रधि के मुख्य लक्षणों के अंतर्गत रोगी के यकृत भाग में तीव्र शूल होता है , जो कभी - कभी दाहिने कंधे की ओर प्रसारित होता है ।";"इसके अलावा सिरदर्द , कंपकंपी और बुखार भी अपने चरम पर पहुंच जाते हैं।";"इसके अलावा सिरदर्द , कंपकंपी और बुखार भी अपने शिखर तक पहुंचते हैं।";"0.972698";"0.902214"
"689";"Patient feels acute pain and burn on just touching the liver part and the skin above it becomes sensitive .";"इसके अतिरिक्त शिर शूल , कंपन तथा ज्वर भी अपनी चरम सीमा पर रहता है ।";"जिगर के हिस्से को छूने पर ही रोगी को तेज दर्द और जलन महसूस होती है और उसके ऊपर की त्वचा संवेदनशील हो जाती है।";"रोगी को तीव्र दर्द महसूस होता है और यकृत के हिस्से को छूने पर जलन होती है और इसके ऊपर की त्वचा संवेदनशील हो जाती है।";"1.791171";"1.901176"
"690";"To avoid abscess all the food items and beverages should be kept away from flies .";"` ` यकृत के भाग को छूने मात्र से रोगी को घोर कष्ट एवं वेदना होती है तथा उसके ऊपर की त्वचा शोधयुक्त हो जाती है । ` `";"फोड़े से बचने के लिए सभी खाद्य पदार्थों और पेय पदार्थों को मक्खियों से दूर रखना चाहिए।";"फोड़ों से बचाव के लिए सभी खाद्य पदार्थों और पेय पदार्थों को मक्खियों से दूर रखा जाना चाहिए।";"1.485859";"1.534087"
"691";"The person from whose excreta the cyst comes out should not do any work of the kitchen until blood and phlegm has stopped coming through excreta .";"यकृत विद्रधि रोग से बचने के लिये समस्त खाद्य एवं पेय पदार्थों को मक्खियों से दूर रखना चाहिए ।";"जिस व्यक्ति के मल - मूत्र से सिस्ट निकल आए , उसे रसोई का कोई भी काम तब तक नहीं करना चाहिए , जब तक मल के जरिए खून और कफ आना बंद न हो जाए।";"जिस व्यक्ति से मल निकलता है वह पुटी बाहर निकलता है , उसे रसोई का कोई काम नहीं करना चाहिए जब तक कि रक्त और कफ मल के माध्यम से आना बंद नहीं हो जाता है।";"1.349412";"1.450037"
"692";"The patient of dysentery should eat barley .";"जिस व्यक्ति के मल से इस रोग की पुटिया निकलती है , उस व्यक्ति को रसोइए का कार्य नहीं करना चाहिए जब तक मल के द्वारा रक्त एवं श् ‍ लेष्मा का निकलना बंद न हो जाये ।";"पेचिश के रोगी को जौ का सेवन करना चाहिए।";"पेचिश के रोगी को जौ खाना चाहिए।";"0.268801";"0.093183"
"693";"If the power of eyes is more then one should wear contact lens .";"पेचिश के रोगी को बार्ली का सेवन कराना चाहिए ।";"अगर आंखों की शक्ति अधिक है तो कॉन्टैक्ट लेंस पहनना चाहिए।";"अगर आंखों की ताकत ज्यादा है तो आपको कॉन्टैक्ट लेंस पहनना चाहिए।";"1.873888";"1.693249"
"694";"Contact lens should be of high quality .";"यदि आँखों का पावर अधिक हो तो कांटेक्ट लेंस पहनना चाहिये ।";"कॉन्टैक्ट लेंस उच्च गुणवत्ता का होना चाहिए।";"संपर्क लेंस उच्च गुणवत्ता का होना चाहिए।";"3.823247";"3.823247"
"695";"Washing eyes regularly is a good habit .";"कांटेक्ट लेंस उम्दा क्वालिटी की होनी चाहिये ।";"नियमित रूप से आंखें धोना एक अच्छी आदत है।";"आंखों को नियमित रूप से धोना एक अच्छी आदत है।";"2.383854";"2.098057"
"696";"When the mucus has stopped coming out then the patient of dysentery can be given thin tapioca pearls -LRB- sabudana -RRB- arrowroot , rice , curd etc .";"नियमित आँखें धोना अच्छी आदत है ।";"जब बलगम निकलना बंद हो जाए तो पेचिश के रोगी को पतले टैपिओका मोती - एलआरबी - साबुदाना - आरआरबी - अरारोट , चावल , दही आदि दिए जा सकते हैं।";"जब बलगम बाहर निकलना बंद हो जाता है तब पेचिश के रोगी को पतले टैपिओका मोती दिए जा सकते हैं।";"0.599674";"1.914603"
"697";"For good health of the eyes one should have vitamin-A rich diet .";"जब श् ‍ लेष्मा का निकलना बंद हो जाये तब पेचिश रोगी को पतला साबूदाना , अरारोट , चावल , दही इत्यादि का सेवन करा सकते हैं ।";"आंखों के अच्छे स्वास्थ्य के लिए विटामिन - ए से भरपूर आहार लेना चाहिए।";"आंखों के अच्छे स्वास्थ्य के लिए आपको विटामिन - ए से भरपूर आहार लेना चाहिए।";"0.522359";"0.552332"
"698";"The health of eyes remain good with regular yoga as well .";"आँखों के अच्छे स्वास्थ्य के लिये विटामिन ’ ए ’ युक्त आहार करना चाहिये ।";"नियमित योग करने से भी आंखों का स्वास्थ्य अच्छा रहता है।";"नियमित योग से आंखों का स्वास्थ्य भी अच्छा बना रहता है।";"2.605244";"2.605244"
"699";"Your eyes are priceless , protect it .";"नियमित्त योग करने से भी आँखों का स्वास्थ्य अच्छा रहता है ।";"आपकी आंखें अमूल्य हैं , इसकी रक्षा करें।";"आपकी आंखें अनमोल हैं , इसे सुरक्षित रखें।";"1.674752";"1.674752"
"700";"Complete it .";"आपकी आँखें अनमोल हैं , इनकी रक्षा करें ।";"पूरा करें ।";"इसे पूरा करें।";"8.647155";"3.057231"
"701";"The most common tumors found in women are swelling of the uterus glands , fibroid or leiomyoma .";"गर्भाशय की रसौली , फाइब्रायड या लियोमयोमा स्त्रियों मे पाया जाने वाला सबसे सामान्य ट्यूमर है ।";"महिलाओं में पाए जाने वाले सबसे आम ट्यूमर गर्भाशय ग्रंथियों , फाइब्रॉएड या लेयोमायोमा की सूजन हैं।";"महिलाओं में पाया जाने वाला सबसे आम ट्यूमर गर्भाशय ग्रंथियों , फाइब्रॉएड या लेयोमोमा की सूजन है।";"3.719910";"17.534823"
"702";"This knot is found in approximately 30 to 40 % women .";"करीब 30 से 40 % महिलाओं में यह गाँठ पाई जाती है ।";"यह गांठ लगभग 30 से 40 % महिलाओं में पाई जाती है।";"यह गांठ लगभग 30 से 40 प्रतिशत महिलाओं में पाई जाती है।";"44.462966";"17.625225"
"703";"This fact has come forward from regular sonography .";"नियमित सोनोग्राफी जाँच से यह तथ्य सामने आया है ।";"नियमित सोनोग्राफी से यह बात सामने आई है।";"यह तथ्य नियमित सोनोग्राफी से आगे आया है।";"12.862535";"13.462381"
"704";"In many cases this does not produce any symptoms but in many cases this becomes reason for pain , bleeding and infertility .";"बहुत से मामलों में यह कुछ भी लक्षण उत्पन्न नहीं करती परन्तु कई मामलों में पीड़ा रक्तस्त्राव और बंध्यता का कारण बनती है ।";"कई मामलों में यह कोई लक्षण पैदा नहीं करता है लेकिन कई मामलों में यह दर्द , रक्तस्राव और बांझपन का कारण बन जाता है।";"कई मामलों में यह किसी भी लक्षण का उत्पादन नहीं करता है , लेकिन कई मामलों में यह दर्द , रक्तस्राव और बांझपन का कारण बन जाता है।";"11.856660";"11.224445"
"705";"Predominantly this is seen in women of 30 - 40 years of age .";"अधिकांशतः यह 30 - 40 वर्ष की आयु की महिलाओं में देखने को मिलती है ।";"मुख्य रूप से यह 30 - 40 वर्ष की आयु की महिलाओं में देखा जाता है।";"मुख्य रूप से यह 30 से 40 वर्ष की आयु की महिलाओं में देखा जाता है।";"58.282340";"41.211838"
"706";"Young girls also get infested with this at times .";"कम उम्र की किशोरियाँ भी कभी - कभी इससे ग्रस्त हो जाती हैं ।";"कई बार युवा लड़कियां भी इसकी चपेट में आ जाती हैं।";"युवा लड़कियों को भी इससे कभी - कभी परेशानी होती है।";"3.393027";"12.067499"
"707";"The size of the swelling decreases after menopause .";"रजोनिवृत्ति होने पर रसौली का आकार छोटा हो जाता है ।";"मेनोपॉज के बाद सूजन का आकार कम हो जाता है।";"रजोनिवृत्ति के बाद सूजन का आकार कम हो जाता है।";"10.738977";"11.355086"
"708";"But after taking hormone therapy the size may increase again .";"लेकिन हार्मोन थेरैपी लेने पर पुनः आकार बड़ा हो सकता है ।";"लेकिन हार्मोन थेरेपी लेने के बाद आकार फिर से बढ़ सकता है।";"लेकिन हार्मोन थेरेपी लेने के बाद आकार फिर से बढ़ सकता है।";"8.516593";"8.516593"
"709";"This disease is found more in women of dark complexion in comparison to women of fair complexion .";"गहरेरंग वाली महिलाओं में गोरे रंग वाली महिलाओं के तुलना में यह बीमारी अधिक पायी जाती है ।";"यह रोग गोरे रंग की महिलाओं की तुलना में सांवले रंग की महिलाओं में अधिक पाया जाता है।";"यह रोग गोरी रंग की महिलाओं की तुलना में काले रंग की महिलाओं में अधिक पाया जाता है।";"8.233515";"7.223943"
"710";"The possibility of the occurrence of this increases if there are no or few children .";"बच्चे नहीं या कम होने से इस के होने की संभावना और बढ़ जाती है ।";"इसके होने की संभावना तब बढ़ जाती है जब बच्चे कम या कम हों।";"यदि कोई या कुछ बच्चे नहीं हैं तो इस घटना की संभावना बढ़ जाती है।";"13.926007";"7.997801"
"711";"This disease is seen less also in women who use pills for family planning .";"परिवार नियोजन की गोलियों का इस्तेमाल करने वाली महिलाओं में भी यह बीमारी कम देखने को मिलती है ।";"परिवार नियोजन के लिए गोलियों का प्रयोग करने वाली महिलाओं में भी यह रोग कम देखा जाता है।";"यह बीमारी उन महिलाओं में भी कम देखी जाती है जो परिवार नियोजन के लिए गोलियों का उपयोग करती हैं।";"31.681618";"12.401006"
"712";"The danger of fibroid increases in menarche at young age .";"कम उम्र में माहवारी होने से फाइब्रायड खतरा बढ़ जाता है ।";"कम उम्र में मेनार्चे में फाइब्रॉएड का खतरा बढ़ जाता है।";"कम उम्र में मेनार्चे में फाइब्रॉएड का खतरा बढ़ जाता है।";"14.473711";"14.473711"
"713";"If mother , sister etc . in the family have fibroid tumor then the possibility of the occurrence of this increases .";"परिवार में माता , बहन आदि को यदि फाइब्रायड ट्यूमर हो तो इसके होने की संभावना बढ़ जाती है ।";"अगर माँ , बहन आदि। परिवार में फाइब्रॉएड ट्यूमर है तो इसके होने की संभावना बढ़ जाती है।";"यदि माँ , बहन आदि। परिवार में फाइब्रॉएड ट्यूमर है तो इस घटना की संभावना बढ़ जाती है।";"24.781799";"7.746720"
"714";"The danger also increases with the consumption of alcohol , cigarette and meat .";"शराब , सिगरेट एवं मांस के सेवन से भी खतरा बढ़ जाता है ।";"शराब , सिगरेट और मांस के सेवन से भी खतरा बढ़ जाता है .";"शराब , सिगरेट और मांस के सेवन से भी खतरा बढ़ जाता है।";"48.415247";"46.053298"
"715";"Vegetarianism helps in being saved from fibroid .";"शाकाहार फाइब्रायड से बचने में मदद करता है ।";"शाकाहार फाइब्रॉएड से बचाने में मदद करता है।";"शाकाहार फाइब्रोइड से बचने में मदद करता है।";"20.612391";"47.750343"
"716";"This is the tumor of muscles and fibrous tissues .";"यह मांसपेशियों और फाइब्रस टिश्यू की गाँठ होती है ।";"यह मांसपेशियों और रेशेदार ऊतकों का ट्यूमर है।";"यह मांसपेशियों और रेशेदार ऊतकों का ट्यूमर है।";"16.009559";"16.009559"
"717";"Approximately 20 - 30 % fibroids are symptom less .";"लगभग 20 से 30 % फाइब्रायड लक्षण रहित होते हैं ।";"लगभग 20 - 30 % फाइब्रॉएड लक्षण कम होते हैं।";"लगभग 20 - 30 % फाइब्रॉएड लक्षण कम हैं।";"11.884632";"11.417530"
"718";"Unusual , excessive bleeding , pain during menses .";"असामान्य , अधिक रक्तस्त्राव , मासिक के समय दर्द ।";"असामान्य , अत्यधिक रक्तस्राव , मासिक धर्म के दौरान दर्द।";"असामान्य , अत्यधिक रक्तस्राव , मासिक धर्म के दौरान दर्द।";"12.549311";"12.549311"
"719";"Pain in abdomen , pain of waist .";"पेडू में दर्द , कमर का दर्द ।";"पेट में दर्द , कमर में दर्द।";"पेट में दर्द , कमर का दर्द।";"35.640265";"53.294626"
"720";"Infertility due to knot inside uterus .";"बच्चेदानी के अंदर गाँठ की वजह से बंध्यता ।";"गर्भाशय के अंदर गांठ के कारण बांझपन।";"गर्भाशय के अंदर गाँठ के कारण बांझपन।";"9.870316";"18.370727"
"721";"Symptoms due to pressure - difficulty in micturition .";"दबाव पड़ने से होने वाले लक्षण - मूत्रत्याग में परेशानी ।";"दबाव के कारण लक्षण - पेशाब करने में कठिनाई।";"दबाव के कारण लक्षण - संभोग में कठिनाई।";"9.080028";"9.027235"
"722";"Need of delivery with operation .";"ऑपरेशन से प्रसव की आवश्यकता पड़ना ।";"ऑपरेशन के साथ डिलीवरी की जरूरत।";"ऑपरेशन के साथ वितरण की आवश्यकता।";"8.170610";"8.170610"
"723";"Anemia due to excessive bleeding post - delivery .";"प्रसवोपरान्त अधिक रक्तस्त्राव के कारण रक्त्ताल्पता होना ।";"प्रसव के बाद अत्यधिक रक्तस्राव के कारण एनीमिया।";"प्रसव के बाद अत्यधिक रक्तस्राव के कारण एनीमिया।";"11.044796";"11.044796"
"724";"Difficulties occur many times in the cure of fibroid .";"कई बार फाइब्रायड के निदान में परेशानी होती है ।";"फाइब्रॉइड के इलाज में कई बार मुश्किलें आती हैं।";"फाइब्रॉएड के इलाज में कई बार कठिनाइयां होती हैं।";"10.147104";"10.729256"
"725";"The uterus also increases in ovarian tumor - endometriosis , pregnancy adenomyosis etc .";"अंडाशय की गाँठ एंडोमेट्रियोसिस , प्रेगनेंसी एडिनोमायोसिस आदि में भी बच्चादानी बड़ी हो जाती है ।";"डिम्बग्रंथि ट्यूमर में भी गर्भाशय बढ़ता है - एंडोमेट्रियोसिस , गर्भावस्था एडिनोमायोसिस आदि।";"गर्भाशय डिम्बग्रंथि ट्यूमर में भी बढ़ता है - एंडोमेट्रियोसिस , गर्भावस्था एडेनोमोसिस आदि।";"7.676649";"7.334599"
"726";"Important tests .";"आवश्यक जाँचे ।";"महत्वपूर्ण परीक्षण।";"महत्वपूर्ण परीक्षण।";"30.326533";"30.326533"
"727";"Sonography , through abdomen and vagina .";"सोनोग्राफी , पेट से एवं योनिमार्ग से ।";"सोनोग्राफी , पेट और योनि के माध्यम से।";"सोनोग्राफी , पेट और योनि के माध्यम से।";"20.556681";"20.556681"
"728";"The presence of swelling glands only is not a prerequisite for its removal .";"मात्र रसौली की उपस्थिति ही उसे निकाले जाने की अनिवार्यता नहीं है ।";"केवल सूजन ग्रंथियों की उपस्थिति इसे हटाने के लिए एक पूर्वापेक्षा नहीं है।";"सूजन ग्रंथियों की उपस्थिति केवल इसके हटाने के लिए एक शर्त नहीं है।";"6.837203";"6.837203"
"729";"If the submucos fibroid is small then it can be removed through hysteroscopic uterine endoscopy .";"सबम्यूकस फ्राइबायड यदि छोटा हो तो उसे हिस्टेरोस्कोपी गर्भाशय की दूरबीन से निकाला जा सकता है ।";"यदि सबम्यूकोस फाइब्रॉएड छोटा है तो इसे हिस्टेरोस्कोपिक गर्भाशय एंडोस्कोपी के माध्यम से हटाया जा सकता है।";"यदि सबम्यूकोस फाइब्रोइड छोटा है तो इसे हिस्टेरोस्कोपिक गर्भाशय एंडोस्कोपी के माध्यम से हटाया जा सकता है।";"6.468491";"6.468491"
"730";"The submucos fibroid can also be removed with laser .";"लेसर द्वारा भी सबम्यूकस फ्राइबायड निकाला जा सकता है ।";"सबम्यूकोस फाइब्रॉएड को लेजर से भी हटाया जा सकता है।";"सबमूकोस फाइब्रॉएड को लेजर से भी हटाया जा सकता है।";"9.287529";"9.287529"
"731";"Before the removal of intramural fibroid it is seen what is the age of the woman , whether there are children or not , whether the family is complete or not , what does the female want .";"इंट्राम्यूरल फाइब्रायड को निकालने के लिए पहले यह देखना होता है कि महिला की आयु कितनी है , बच्चे है कि नहीं , परिवार पूर्ण है या नही , महिला क्या चाहती है ।";"इंट्राम्यूरल फाइब्रॉएड को हटाने से पहले यह देखा जाता है कि महिला की उम्र क्या है , बच्चे हैं या नहीं , परिवार पूरा है या नहीं , महिला क्या चाहती है।";"इंट्राम्यूरल फाइब्रॉएड को हटाने से पहले यह देखा जाता है कि महिला की उम्र क्या है , क्या बच्चे हैं या नहीं , क्या परिवार पूरा हो गया है या नहीं , महिला क्या चाहती है।";"22.578599";"18.341681"
"732";"Myomectomy operation can be carried out through hysteroscopy or laparoscopy or laprotomy -LRB- opening the abdomen -RRB- .";"मायोमेकटोमी आपरेशन हिस्टेरोस्कोपी या लेपेरोस्कोपी द्वारा अथवा लेपेरोटोमी ( पेट खोल कर ) द्वारा किया जा सकता है ।";"मायोमेक्टॉमी ऑपरेशन हिस्टेरोस्कोपी या लैप्रोस्कोपी या लैप्रोटॉमी - एलआरबी - पेट को खोलना - आरआरबी - के माध्यम से किया जा सकता है।";"मायोमेक्टोमी ऑपरेशन को हिस्टेरोस्कोपी या लेप्रोस्कोपी या लेप्रोटोमी के माध्यम से किया जा सकता है।";"8.066974";"9.421444"
"733";"Only the tumor is taken out in case of young women who do not want more children .";"कम आयु की महिलाएँ , जिन्हें और बच्चे चाहिए उनके केस में सिर्फ गाँठ निकाली जाती है ।";"केवल उन युवा महिलाओं के मामले में ट्यूमर निकाला जाता है जो अधिक बच्चे नहीं चाहती हैं।";"युवा महिलाओं के मामले में केवल ट्यूमर निकाला जाता है जो अधिक बच्चे नहीं चाहते हैं।";"2.837864";"2.840389"
